Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
2001,90221,Desain Interior,Aktif,S1,A,2019,21,229,01:10.9,seni,
2001,90241,Desain Komunikasi Visual,Aktif,S1,A,2019,18,284,01:15.8,seni,
2001,90231,Desain Produk,Aktif,S1,A,2019,18,241,01:13.4,seni,
2001,48202,Farmasi Klinik Dan Komunitas,Aktif,S1,A,2019,16,218,01:13.6,kesehatan,
2001,94202,Kewirausahaan,Aktif,S1,A,2019,13,264,01:20.3,ekonomi,
2001,90211,Kriya,Aktif,S1,A,2019,17,244,01:14.4,seni,
2001,61201,Manajemen,Aktif,S1,A,2019,16,964,02:00.2,ekonomi,
2001,33202,Meteorologi,Aktif,S1,A,2019,13,187,01:14.4,mipa,
2001,54241,Oseanografi,Aktif,S1,A,2019,12,196,01:16.3,teknik,
2001,46203,Rekayasa Hayati,Aktif,S1,A,2019,6,171,01:28.5,mipa,
2001,54211,Rekayasa Pertanian,Aktif,S1,A,2019,15,242,01:16.1,pertanian,
2001,48201,Sains Dan Teknologi Farmasi,Aktif,S1,A,2019,29,459,01:15.8,#N/A,
2001,90201,Seni Rupa,Aktif,S1,A,2019,38,199,01:05.2,#N/A,
2001,11410,Teknik Biomedis,Aktif,S1,A,2019,9,134,01:14.9,#N/A,
2001,22104,Rekayasa Infrastruktur Lingkungan,Aktif,S1,B,2019,10,121,01:12.1,teknik,
2001,54251,Rekayasa Kehutanan,Aktif,S1,B,2019,13,208,01:16.0,teknik,
2001,21012,Teknik Bioenergi dan Kemurgi,Aktif,S1,B,2019,8,144,01:18.0,#N/A,
2001,54244,Teknik dan Pengelolaan Sumber Daya Air,Aktif,S1,B,2019,7,179,01:25.6,#N/A,
2001,41221,Teknik Pangan,Aktif,S1,B,2019,6,169,01:28.2,#N/A,
2001,41231,Teknologi Pasca Panen,Aktif,S1,B,2019,11,140,01:12.7,#N/A,
2001,94203,Aktuaria,Aktif,S1,-,2019,0,101,-,mipa,
2001,23201,Arsitektur,Aktif,S1,A,2019,31,382,01:12.3,teknik,
2001,50201,Astronomi,Aktif,S1,A,2019,9,209,01:23.2,teknik,
2001,46201,Biologi,Aktif,S1,A,2019,23,350,01:15.2,mipa,
2001,45201,Fisika,Aktif,S1,A,2019,44,511,01:11.6,mipa,
2001,47201,Kimia,Aktif,S1,A,2019,36,442,01:12.3,mipa,
2001,26202,Manajemen Rekayasa Industri,Aktif,S1,A,2019,8,231,01:28.9,teknik,
2001,44201,Matematika,Aktif,S1,A,2019,45,477,01:10.6,mipa,
2001,46202,Mikrobiologi,Aktif,S1,A,2019,15,175,01:11.7,mipa,
2001,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,33,597,01:18.1,teknik,
2001,59201,Sistem dan Teknologi Informasi,Aktif,S1,A,2019,12,296,01:24.7,#N/A,
2001,40201,Teknik Dirgantara,Aktif,S1,A,2019,21,414,01:19.7,#N/A,
2001,20201,Teknik Elektro,Aktif,S1,A,2019,39,412,01:10.6,#N/A,
2001,30201,Teknik Fisika,Aktif,S1,A,2019,18,368,01:20.4,#N/A,
2001,29201,Teknik Geodesi Dan Geomatika,Aktif,S1,A,2019,24,431,01:18.0,#N/A,
2001,33201,Teknik Geofisika,Aktif,S1,A,2019,19,335,01:17.6,#N/A,
2001,34201,Teknik Geologi,Aktif,S1,A,2019,18,371,01:20.6,#N/A,
2001,26201,Teknik Industri,Aktif,S1,A,2019,25,629,01:25.2,#N/A,
2001,55201,Teknik Informatika,Aktif,S1,A,2019,30,730,01:24.3,#N/A,
2001,38201,Teknik Kelautan,Aktif,S1,A,2019,15,359,01:23.9,#N/A,
2001,24201,Teknik Kimia,Aktif,S1,A,2019,19,498,01:26.2,#N/A,
2001,25201,Teknik Lingkungan,Aktif,S1,A,2019,23,447,01:19.4,#N/A,
2001,28201,Teknik Material,Aktif,S1,A,2019,10,293,01:29.3,#N/A,
2001,21201,Teknik Mesin,Aktif,S1,A,2019,33,846,01:25.6,#N/A,
2001,27201,Teknik Metalurgi,Aktif,S1,A,2019,10,302,01:30.2,#N/A,
2001,32201,Teknik Perminyakan,Aktif,S1,A,2019,7,402,01:57.4,#N/A,
2001,31201,Teknik Pertambangan,Aktif,S1,A,2019,12,383,01:31.9,#N/A,
2001,22201,Teknik Sipil,Aktif,S1,A,2019,38,653,01:17.2,#N/A,
2001,20202,Teknik Telekomunikasi,Aktif,S1,A,2019,14,157,01:11.2,#N/A,
2001,20203,Teknik Tenaga Listrik,Aktif,S1,Unggul,2019,8,157,01:19.6,#N/A,
