Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
2002,23201,Arsitektur,Aktif,S1,A,2019,23,415,1 : 18.04,teknik,
2002,46201,Biologi,Aktif,S1,A,2019,23,316,1 : 13.74,mipa,
2002,90221,Desain Interior,Aktif,S1,A,2019,14,264,1 : 18.86,seni,
2002,90231,Desain Produk,Aktif,S1,A,2019,18,490,1 : 27.22,seni,
2002,45201,Fisika,Aktif,S1,A,2019,32,372,1 : 11.63,mipa,
2002,47201,Kimia,Aktif,S1,A,2019,26,401,1 : 15.42,mipa,
2002,44201,Matematika,Aktif,S1,A,2019,32,459,1 : 14.34,mipa,
2002,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,23,434,1 : 18.87,teknik,
2002,57201,Sistem Informasi,Aktif,S1,A,2019,29,646,1 : 22.28,#N/A,
2002,49201,Statistika,Aktif,S1,A,2019,23,462,1 : 20.09,#N/A,
2002,11410,Teknik Biomedik,Aktif,S1,A,2019,12,229,1 : 19.08,#N/A,
2002,20201,Teknik Elektro,Aktif,S1,A,2019,34,813,1 : 23.91,#N/A,
2002,30201,Teknik Fisika,Aktif,S1,A,2019,22,644,1 : 29.27,#N/A,
2002,33201,Teknik Geofisika,Aktif,S1,A,2019,11,237,1 : 21.55,#N/A,
2002,29202,Teknik Geomatika,Aktif,S1,A,2019,17,397,1 : 23.35,#N/A,
2002,55201,Teknik Informatika,Aktif,S1,A,2019,34,815,1 : 23.97,#N/A,
2002,24201,Teknik Kimia,Aktif,S1,A,2019,30,701,1 : 23.37,#N/A,
2002,90243,Teknik Komputer,Aktif,S1,A,2019,17,292,1 : 17.18,#N/A,
2002,25201,Teknik Lingkungan,Aktif,S1,A,2019,18,463,1 : 25.72,#N/A,
2002,28201,Teknik Material,Aktif,S1,A,2019,18,524,1 : 29.11,#N/A,
2002,21201,Teknik Mesin,Aktif,S1,A,2019,34,918,1 : 27.00,#N/A,
2002,36201,Teknik Perkapalan,Aktif,S1,A,2019,23,506,1 : 22.00,#N/A,
2002,22201,Teknik Sipil,Aktif,S1,A,2019,40,681,1 : 17.02,#N/A,
2002,61205,Manajemen Bisnis,Aktif,S1,B,2019,17,480,1 : 28.24,ekonomi,
2002,90241,Desain Komunikasi Visual,Aktif,S1,-,2019,14,117,1 : 8.36,seni,
2002,94203,Sains Aktuaria,Aktif,S1,Baik,2019,7,136,1 : 19.43,#N/A,
2002,60201,Studi Pembangunan,Aktif,S1,-,2019,10,57,1 : 5.70,#N/A,
2002,26201,Teknik Industri,Aktif,S1,Unggul,2019,23,779,1 : 33.87,#N/A,
2002,38201,Teknik Kelautan,Aktif,S1,Unggul,2019,24,505,1 : 21.04,#N/A,
2002,36202,Teknik Sistem Perkapalan,Aktif,S1,Unggul,2019,19,681,1 : 35.84,#N/A,
2002,21207,Teknik Transportasi Laut,Aktif,S1,Unggul,2019,12,254,1 : 21.17,#N/A,
2002,59201,Teknologi Informasi,Aktif,S1,-,2019,6,93,1 : 15.50,#N/A,
