University,Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
Universitas Telkom,41057,63211,Administrasi Bisnis,Aktif,S1,A,2019,41,1438,01:35.1,ekonomi,
Universitas Telkom,41057,62201,Akuntansi,Aktif,S1,A,2019,28,1204,01:43.0,ekonomi,
Universitas Telkom,41057,90221,Desain Interior,Aktif,S1,A,2019,41,1000,01:24.4,seni,
Universitas Telkom,41057,90241,Desain Komunikasi Visual,Aktif,S1,A,2019,72,1728,01:24.0,seni,
Universitas Telkom,41057,90231,Desain Produk,Aktif,S1,A,2019,17,358,01:21.1,seni,
Universitas Telkom,41057,70201,Ilmu Komunikasi,Aktif,S1,A,2019,39,1493,01:38.3,sosial,
Universitas Telkom,41057,55201,Informatika,Aktif,S1,A,2019,15,519,01:34.6,teknik,
Universitas Telkom,41057,90211,Kriya,Aktif,S1,A,2019,1,118,02:58.0,seni,
Universitas Telkom,41057,90211,Kriya Seni,Alih Bentuk,S1,A,2019,0,0,-,seni,
Universitas Telkom,41057,61201,Manajemen,Aktif,S1,A,2019,59,2041,01:34.6,ekonomi,
Universitas Telkom,41057,90201,Seni Rupa,Aktif,S1,A,2019,2,132,02:06.0,seni,
Universitas Telkom,41057,90201,Seni Rupa Murni,Alih Bentuk,S1,A,2019,0,0,-,seni,
Universitas Telkom,41057,57201,Sistem Informasi,Aktif,S1,A,2019,54,1466,01:27.2,teknik,
Universitas Telkom,41057,20201,Teknik Elektro,Aktif,S1,A,2019,44,1122,01:25.5,teknik,
Universitas Telkom,41057,30201,Teknik Fisika,Aktif,S1,A,2019,26,481,01:18.5,teknik,
Universitas Telkom,41057,26201,Teknik Industri,Aktif,S1,A,2019,70,1701,01:24.3,teknik,
Universitas Telkom,41057,55201,Teknik Informatika,Alih Bentuk,S1,A,2019,0,0,-,teknik,
Universitas Telkom,41057,20202,Teknik Telekomunikasi,Aktif,S1,A,2019,88,1836,01:20.9,teknik,
Universitas Telkom,41057,71441,Hubungan Masyarakat,Aktif,S1,B,2019,9,414,01:46.0,humaniora,
