Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
41057,63211,Administrasi Bisnis,Aktif,S1,A,2019,41,1438,1 : 35.07,ekonomi,
41057,62201,Akuntansi,Aktif,S1,A,2019,28,1204,1 : 43.00,ekonomi,
41057,90221,Desain Interior,Aktif,S1,A,2019,41,1000,1 : 24.39,seni,
41057,90241,Desain Komunikasi Visual,Aktif,S1,A,2019,72,1728,1 : 24.00,seni,
41057,90231,Desain Produk,Aktif,S1,A,2019,17,358,1 : 21.06,seni,
41057,70201,Ilmu Komunikasi,Aktif,S1,A,2019,39,1493,1 : 38.28,sosial,
41057,55201,Informatika,Aktif,S1,A,2019,15,519,1 : 34.60,teknik,
41057,90211,Kriya,Aktif,S1,A,2019,1,118,1 : 118.00,seni,
41057,90211,Kriya Seni,Alih Bentuk,S1,A,2019,0,0,-,#N/A,
41057,61201,Manajemen,Aktif,S1,A,2019,59,2041,1 : 34.59,ekonomi,
41057,90201,Seni Rupa,Aktif,S1,A,2019,2,132,1 : 66.00,seni,
41057,90201,Seni Rupa Murni,Alih Bentuk,S1,A,2019,0,0,-,seni,
41057,57201,Sistem Informasi,Aktif,S1,A,2019,54,1466,1 : 27.15,teknik,
41057,20201,Teknik Elektro,Aktif,S1,A,2019,44,1122,1 : 25.50,teknik,
41057,30201,Teknik Fisika,Aktif,S1,A,2019,26,481,1 : 18.50,teknik,
41057,26201,Teknik Industri,Aktif,S1,A,2019,70,1701,1 : 24.30,teknik,
41057,55201,Teknik Informatika,Alih Bentuk,S1,A,2019,0,0,-,teknik,
41057,20202,Teknik Telekomunikasi,Aktif,S1,A,2019,88,1836,1 : 20.86,teknik,
41057,71441,Hubungan Masyarakat,Aktif,S1,B,2019,9,414,1 : 46.00,#N/A,
41057,59202,Ilmu Komputasi,Alih Bentuk,S1,B,2019,0,0,-,#N/A,
41057,59202,Rekayasa Perangkat Lunak,Aktif,S1,B,2019,10,111,1 : 11.10,#N/A,
41057,56201,Sistem Komputer,Alih Bentuk,S1,B,2019,0,0,-,#N/A,
41057,56202,Teknik Komputer,Aktif,S1,B,2019,3,0,-,teknik,
41057,59201,Teknologi Informasi,Aktif,S1,B,2019,7,342,1 : 48.86,teknik,
41057,55203,PJJ Informatika,Aktif,S1,-,2019,6,4,1 : 0.67,#N/A,
41057,63315,Teknik Logistik,Aktif,S1,-,2019,6,56,1 : 9.33,#N/A,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
