Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification,Link
1001,54297,Agronomi,Aktif,S1,A,2019,6,296,1 : 49.33,pertanian,,
1001,54247,Akuakultur,Aktif,S1,A,2019,7,235,1 : 33.57,pertanian,,
1001,82201,Antropologi Budaya,Aktif,S1,A,2019,7,250,1 : 35.71,#N/A,,
1001,81201,Arkeologi,Aktif,S1,A,2019,8,212,1 : 26.50,humaniora,,
1001,79210,Bahasa dan Kebudayaan Korea,Aktif,S1,A,2019,6,189,1 : 31.50,humaniora,,
1001,79201,Bahasa dan Sastra Indonesia,Aktif,S1,A,2019,8,191,1 : 23.88,humaniora,,
1001,54299,Ekonomi Pertanian dan Agribisnis,Aktif,S1,A,2019,13,312,1 : 24.00,#N/A,,
1001,48201,Farmasi,Aktif,S1,A,2019,41,823,1 : 20.07,kesehatan,,
1001,75201,Filsafat,Aktif,S1,A,2019,23,649,1 : 28.22,#N/A,,
1001,45201,Fisika,Aktif,S1,A,2019,27,285,1 : 10.56,mipa,,
1001,33201,Geofisika,Aktif,S1,A,2019,13,195,1 : 15.00,mipa,,
1001,13211,Gizi Kesehatan,Aktif,S1,A,2019,14,327,1 : 23.36,#N/A,,
1001,74201,Hukum,Aktif,S1,A,2019,46,1596,1 : 34.70,humaniora,,
1001,60201,Ilmu Ekonomi,Aktif,S1,A,2019,12,493,1 : 41.08,ekonomi,,
1001,64201,Ilmu Hubungan Internasional,Aktif,S1,A,2019,13,456,1 : 35.08,sosial,,
1001,14201,Ilmu Keperawatan,Aktif,S1,A,2019,21,208,1 : 9.90,kesehatan,,
1001,70201,Ilmu Komunikasi,Aktif,S1,A,2019,20,388,1 : 19.40,sosial,,
1001,54294,Ilmu Tanah,Aktif,S1,A,2019,9,215,1 : 23.89,mipa,,
1001,11201,Kedokteran,Aktif,S1,A,2019,131,346,1 : 2.64,kesehatan,,
1001,12201,Kedokteran Gigi,Aktif,S1,A,2019,35,585,1 : 16.71,kesehatan,,
1001,54261,Kedokteran Hewan,Aktif,S1,A,2019,63,797,1 : 12.65,kesehatan,,
1001,54252,Kehutanan,Aktif,S1,A,2019,62,1055,1 : 17.02,teknik,,
1001,54259,Kehutanan (budidaya Hutan),Tutup,S1,A,2019,0,0,-,#N/A,,
1001,54256,Kehutanan (konservasi Sd Hutan),Tutup,S1,A,2019,0,0,-,#N/A,,
1001,54258,Kehutanan (manajemen Hutan),Tutup,S1,A,2019,0,0,-,#N/A,,
1001,54251,Kehutanan (tek Hasil Hutan),Tutup,S1,A,2019,0,0,-,#N/A,,
1001,63201,Manajemen dan Kebijakan Publik,Aktif,S1,A,2019,11,439,1 : 39.91,#N/A,,
1001,54242,Manajemen Sumberdaya Akuatik,Aktif,S1,A,2019,9,220,1 : 24.44,#N/A,,
1001,46202,Mikrobiologi Pertanian,Aktif,S1,A,2019,5,154,1 : 30.80,#N/A,,
1001,93202,Pariwisata,Aktif,S1,A,2019,9,292,1 : 32.44,sosial,,
1001,68201,Pembangunan Sosial dan Kesejahteraan,Aktif,S1,A,2019,12,318,1 : 26.50,#N/A,,
1001,95203,Pembangunan Wilayah,Aktif,S1,A,2019,10,287,1 : 28.70,#N/A,,
1001,54293,Pemuliaan Tanaman,Aktif,S1,A,2019,14,0,-,#N/A,,
1001,35201,Perencanaan Wilayah dan Kota,Aktif,S1,A,2019,14,321,1 : 22.93,teknik,,
1001,65201,Politik dan Pemerintahan,Aktif,S1,A,2019,16,341,1 : 21.31,#N/A,,
1001,54295,Proteksi Tanaman,Aktif,S1,A,2019,6,158,1 : 26.33,pertanian,,
1001,73201,Psikologi,Aktif,S1,A,2019,41,1012,1 : 24.68,humaniora,,
1001,79203,Sastra Arab,Aktif,S1,A,2019,10,200,1 : 20.00,humaniora,,
1001,79202,Sastra Inggris,Aktif,S1,A,2019,9,221,1 : 24.56,humaniora,,
1001,79211,Sastra Jawa,Aktif,S1,A,2019,7,140,1 : 20.00,humaniora,,
1001,79204,Sastra Jepang,Aktif,S1,A,2019,10,141,1 : 14.10,humaniora,,
1001,79205,Sastra Prancis,Aktif,S1,A,2019,6,107,1 : 17.83,#N/A,,
1001,80201,Sejarah,Aktif,S1,A,2019,8,185,1 : 23.13,humaniora,,
1001,69201,Sosiologi,Aktif,S1,A,2019,14,319,1 : 22.79,sosial,,
1001,30201,Teknik Fisika,Aktif,S1,A,2019,16,380,1 : 23.75,teknik,,
1001,34201,Teknik Geologi,Aktif,S1,A,2019,24,298,1 : 12.42,teknik,,
1001,37201,Teknik Nuklir,Aktif,S1,A,2019,14,167,1 : 11.93,#N/A,,
1001,41201,Teknik Pertanian,Aktif,S1,A,2019,15,380,1 : 25.33,teknik,,
1001,54244,Teknologi Hasil Perikanan,Aktif,S1,A,2019,7,217,1 : 31.00,pertanian,,
1001,41231,Teknologi Pangan dan Hasil Pertanian,Aktif,S1,A,2019,17,392,1 : 23.06,#N/A,,
1001,14202,Higiene Gigi,Aktif,S1,B,2019,9,160,1 : 17.78,#N/A,,
1001,62201,Akuntansi,Aktif,S1,Unggul,2019,23,719,1 : 31.26,ekonomi,,
1001,23201,Arsitektur,Aktif,S1,Unggul,2019,11,277,1 : 25.18,teknik,,
1001,46201,Biologi,Aktif,S1,Unggul,2019,42,833,1 : 19.83,mipa,,
1001,30202,Elektronika dan Instrumentasi,Aktif,S1,Unggul,2019,16,334,1 : 20.88,#N/A,,
1001,51201,Geografi,Tutup,S1,-,2019,0,0,-,mipa,,
1001,25201,Geografi Lingkungan,Aktif,S1,Unggul,2019,15,402,1 : 26.80,#N/A,,
1001,94203,Ilmu Aktuaria,Aktif,S1,-,2019,8,39,1 : 4.88,mipa,,
1001,54231,Ilmu dan Industri Peternakan,Aktif,S1,Unggul,2019,46,1082,1 : 23.52,#N/A,,
1001,55201,Ilmu Komputer,Aktif,S1,Unggul,2019,16,448,1 : 28.00,teknik,,
1001,51211,Kartografi dan Penginderaan Jauh,Aktif,S1,Unggul,2019,12,296,1 : 24.67,#N/A,,
1001,47201,Kimia,Aktif,S1,Unggul,2019,26,627,1 : 24.12,mipa,,
1001,61201,Manajemen,Aktif,S1,Unggul,2019,27,747,1 : 27.67,ekonomi,,
1001,44201,Matematika,Aktif,S1,Unggul,2019,17,239,1 : 14.06,mipa,,
1001,54298,Penyuluhan dan Komunikasi Pertanian,Aktif,S1,-,2019,10,132,1 : 13.20,#N/A,,
1001,49201,Statistika,Aktif,S1,Unggul,2019,7,129,1 : 18.43,mipa,,
1001,11410,Teknik Biomedis,Aktif,S1,-,2019,0,33,-,teknik,,
1001,20201,Teknik Elektro,Aktif,S1,Unggul,2019,21,404,1 : 19.24,teknik,,
1001,29201,Teknik Geodesi,Aktif,S1,Unggul,2019,16,445,1 : 27.81,teknik,,
1001,26201,Teknik Industri,Aktif,S1,Unggul,2019,18,403,1 : 22.39,teknik,,
1001,24201,Teknik Kimia,Aktif,S1,Unggul,2019,23,490,1 : 21.30,teknik,,
1001,21201,Teknik Mesin,Aktif,S1,Unggul,2019,20,512,1 : 25.60,teknik,,
1001,22201,Teknik Sipil,Aktif,S1,Unggul,2019,21,606,1 : 28.86,teknik,,
1001,41211,Teknologi Industri Pertanian,Aktif,S1,Unggul,2019,18,415,1 : 23.06,pertanian,,
1001,59201,Teknologi Informasi,Aktif,S1,Unggul,2019,12,392,1 : 32.67,teknik,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
