Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1002,62201,Akuntansi,Aktif,S1,A,2019,53,1139,1 : 21.49,ekonomi,
1002,82201,Antropologi Sosial,Aktif,S1,A,2019,9,0,-,humaniora,
1002,81201,Arkeologi,Aktif,S1,A,2019,5,204,1 : 40.80,humaniora,
1002,23201,Arsitektur,Aktif,S1,A,2019,7,409,1 : 58.43,teknik,
1002,90221,Arsitektur Interior,Aktif,S1,A,2019,5,188,1 : 37.60,teknik,
1002,79210,Bahasa Dan Kebudayaan Korea,Aktif,S1,A,2019,9,189,1 : 21.00,humaniora,
1002,46201,Biologi,Aktif,S1,A,2019,21,538,1 : 25.62,mipa,
1002,60202,Ekonomi Islam,Aktif,S1,A,2019,9,164,1 : 18.22,ekonomi,
1002,48201,Farmasi,Aktif,S1,A,2019,13,204,1 : 15.69,kesehatan,
1002,45201,Fisika,Aktif,S1,A,2019,14,549,1 : 39.21,mipa,
1002,51201,Geografi,Aktif,S1,A,2019,11,550,1 : 50.00,mipa,
1002,13211,Gizi,Aktif,S1,A,2019,8,1,1 : 0.13,kesehatan,
1002,63221,Ilmu Administrasi Fiskal,Aktif,S1,A,2019,13,159,1 : 12.23,ekonomi,
1002,63201,Ilmu Administrasi Negara,Aktif,S1,A,2019,16,176,1 : 11.00,sosial,
1002,63211,Ilmu Administrasi Niaga,Aktif,S1,A,2019,12,120,1 : 10.00,sosial,
1002,60201,Ilmu Ekonomi,Aktif,S1,A,2019,31,528,1 : 17.03,ekonomi,
1002,75201,Ilmu Filsafat,Aktif,S1,A,2019,7,169,1 : 24.14,humaniora,
1002,64201,Ilmu Hubungan Internasional,Aktif,S1,A,2019,8,0,-,sosial,
1002,74201,Ilmu Hukum,Aktif,S1,A,2019,72,1864,1 : 25.89,humaniora,
1002,14201,Ilmu Keperawatan,Aktif,S1,A,2019,21,68,1 : 3.24,kesehatan,
1002,72201,Ilmu Kesejahteraan Sosial,Aktif,S1,A,2019,10,0,-,sosial,
1002,55201,Ilmu Komputer,Aktif,S1,A,2019,19,288,1 : 15.16,teknik,
1002,70201,Ilmu Komunikasi,Aktif,S1,A,2019,14,626,1 : 44.71,sosial,
1002,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,10,237,1 : 23.70,humaniora,
1002,67201,Ilmu Politik,Aktif,S1,A,2019,15,12,1 : 0.80,humaniora,
1002,80201,Ilmu Sejarah,Aktif,S1,A,2019,7,184,1 : 26.29,humaniora,
1002,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,27,240,1 : 8.89,kesehatan,
1002,66201,Kriminologi,Aktif,S1,A,2019,9,6,1 : 0.67,sosial,
1002,61201,Manajemen,Aktif,S1,A,2019,44,1243,1 : 28.25,ekonomi,
1002,44201,Matematika,Aktif,S1,A,2019,12,404,1 : 33.67,mipa,
1002,11201,Pendidikan Dokter,Aktif,S1,A,2019,107,826,1 : 7.72,kesehatan,
1002,12201,Pendidikan Dokter Gigi,Aktif,S1,A,2019,17,381,1 : 22.41,kesehatan,
1002,73201,Psikologi,Aktif,S1,A,2019,52,1275,1 : 24.52,humaniora,
1002,79203,Sastra Arab,Aktif,S1,A,2019,6,213,1 : 35.50,#N/A,
1002,79208,Sastra Belanda,Aktif,S1,A,2019,12,210,1 : 17.50,#N/A,
1002,79209,Sastra Cina,Aktif,S1,A,2019,12,204,1 : 17.00,#N/A,
