Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1004,62201,Akuntansi,Aktif,S1,A,2019,27,1199,1 : 44.41,ekonomi,
1004,82201,Antropologi,Aktif,S1,A,2019,12,414,1 : 34.50,humaniora,
1004,79201,Bahasa dan Sastra Indonesia,Aktif,S1,A,2019,16,656,1 : 41.00,humaniora,
1004,79202,Bahasa dan Sastra Inggris,Aktif,S1,A,2019,26,724,1 : 27.85,humaniora,
1004,60202,Ekonomi Islam,Aktif,S1,A,2019,16,848,1 : 53.00,ekonomi,
1004,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,15,794,1 : 52.93,ekonomi,
1004,48201,Farmasi,Aktif,S1,A,2019,63,912,1 : 14.48,kesehatan,
1004,13211,Gizi,Aktif,S1,A,2019,8,368,1 : 46.00,kesehatan,
1004,63201,Ilmu Administrasi Negara,Aktif,S1,A,2019,7,461,1 : 65.86,sosial,
1004,64201,Ilmu Hubungan Internasional,Aktif,S1,A,2019,11,434,1 : 39.45,sosial,
1004,71201,Ilmu Informasi dan Perpustakaan,Tutup,S1,A,2019,0,0,-,sosial,
1004,70201,Ilmu Komunikasi,Aktif,S1,A,2019,12,442,1 : 36.83,sosial,
1004,67201,Ilmu Politik,Aktif,S1,A,2019,9,432,1 : 48.00,humaniora,
1004,80201,Ilmu Sejarah,Aktif,S1,A,2019,15,429,1 : 28.60,humaniora,
1004,15201,Kebidanan,Aktif,S1,A,2019,14,273,1 : 19.50,kesehatan,
1004,11201,Kedokteran,Aktif,S1,A,2019,48,876,1 : 18.25,kesehatan,
1004,12201,Kedokteran Gigi,Aktif,S1,A,2019,54,502,1 : 9.30,kesehatan,
1004,54261,Kedokteran Hewan,Aktif,S1,A,2019,41,1042,1 : 25.41,kesehatan,
1004,14201,Keperawatan,Aktif,S1,A,2019,27,693,1 : 25.67,kesehatan,
1004,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,53,1020,1 : 19.25,kesehatan,
1004,61201,Manajemen,Aktif,S1,A,2019,17,1329,1 : 78.18,ekonomi,
1004,57201,Sistem Informasi,Aktif,S1,A,2019,10,273,1 : 27.30,teknik,
1004,69201,Sosiologi,Aktif,S1,A,2019,8,421,1 : 52.63,sosial,
1004,49201,Statistika,Aktif,S1,A,2019,9,251,1 : 27.89,mipa,
1004,79204,Studi Kejepangan,Aktif,S1,A,2019,11,299,1 : 27.18,humaniora,
1004,11410,Teknik Biomedis,Aktif,S1,A,2019,8,229,1 : 28.63,teknik,
1004,25201,Teknik Lingkungan,Aktif,S1,A,2019,7,246,1 : 35.14,teknik,
1004,54253,Akuakultur K. Banyuwangi,Aktif,S1,B,2019,8,155,1 : 19.38,pertanian,
1004,62102,Akuntansi K. Banyuwangi,Aktif,S1,B,2019,7,166,1 : 23.71,pertanian,
1004,71202,Ilmu Informasi dan Perpustakaan,Aktif,S1,B,2019,12,405,1 : 33.75,sosial,
1004,54262,Kedokteran Hewan K. Banyuwangi,Aktif,S1,B,2019,14,179,1 : 12.79,kesehatan,
1004,13202,Kesehatan Masyarakat K. Banyuwangi,Aktif,S1,B,2019,9,170,1 : 18.89,kesehatan,
1004,54249,Teknologi Hasil Perikanan,Aktif,S1,B,2019,11,371,1 : 33.73,pertanian,
1004,54243,Akuakultur,Aktif,S1,Unggul,2019,20,755,1 : 37.75,pertanian,
1004,46201,Biologi,Aktif,S1,Unggul,2019,24,360,1 : 15.00,mipa,
1004,45201,Fisika,Aktif,S1,Unggul,2019,19,371,1 : 19.53,mipa,
1004,74201,Ilmu Hukum,Aktif,S1,Unggul,2019,46,865,1 : 18.80,humaniora,
1004,47201,Kimia,Aktif,S1,Unggul,2019,22,368,1 : 16.73,mipa,
1004,44201,Matematika,Aktif,S1,Unggul,2019,20,434,1 : 21.70,mipa,
1004,73201,Psikologi,Aktif,S1,Unggul,2019,21,896,1 : 42.67,humaniora,
1004,30203,Rekayasa Nanoteknologi,Aktif,S1,-,2019,2,0,-,teknik,
1004,20201,Teknik Elektro,Aktif,S1,-,2019,1,0,-,teknik,
1004,26201,Teknik Industri,Aktif,S1,-,2019,0,0,-,teknik,
1004,56203,Teknik Robotika dan Kecerdasan Buatan,Aktif,S1,-,2019,0,0,-,teknik,
1004,49202,Teknologi Sains Data,Aktif,S1,-,2019,0,0,-,teknik,
