Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1019,63211,Administrasi Bisnis,Aktif,S1,A,2019,40,2129,1 : 53.23,ekonomi,
1019,63201,Administrasi Publik,Aktif,S1,A,2019,38,1503,1 : 39.55,sosial,
1019,54201,Agribisnis,Aktif,S1,A,2019,39,1670,1 : 42.82,pertanian,
1019,54245,Agrobisnis Perikanan,Aktif,S1,A,2019,10,658,1 : 65.80,pertanian,
1019,54211,Agroekoteknologi,Aktif,S1,A,2019,77,2845,1 : 36.95,pertanian,
1019,62201,Akuntansi,Aktif,S1,A,2019,33,1174,1 : 35.58,ekonomi,
1019,23201,Arsitektur,Aktif,S1,A,2019,22,599,1 : 27.23,teknik,
1019,46201,Biologi,Aktif,S1,A,2019,15,475,1 : 31.67,mipa,
1019,54207,Bioteknologi,Aktif,S1,A,2019,8,369,1 : 46.13,mipa,
1019,54243,Budidaya Perairan,Aktif,S1,A,2019,16,568,1 : 35.50,pertanian,
1019,60202,Ekonomi Islam,Aktif,S1,A,2019,14,567,1 : 40.50,ekonomi,
1019,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,16,682,1 : 42.63,ekonomi,
1019,61206,"Ekonomi, Keuangan dan Perbankan",Aktif,S1,A,2019,7,485,1 : 69.29,ekonomi,
1019,45201,Fisika,Aktif,S1,A,2019,8,381,1 : 47.63,mipa,
1019,41231,Ilmu dan Teknologi Pangan,Aktif,S1,A,2019,20,624,1 : 31.20,pertanian,
1019,13211,Ilmu Gizi,Aktif,S1,A,2019,18,419,1 : 23.28,kesehatan,
1019,74201,Ilmu Hukum,Aktif,S1,A,2019,58,3064,1 : 52.83,humaniora,
1019,54241,Ilmu Kelautan,Aktif,S1,A,2019,17,641,1 : 37.71,teknik,
1019,14201,Ilmu Keperawatan,Aktif,S1,A,2019,20,380,1 : 19.00,kesehatan,
1019,70201,Ilmu Komunikasi,Aktif,S1,A,2019,33,1198,1 : 36.30,sosial,
1019,65201,Ilmu Pemerintahan,Aktif,S1,A,2019,17,719,1 : 42.29,sosial,
1019,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,7,239,1 : 34.14,humaniora,
1019,15201,Kebidanan,Aktif,S1,A,2019,12,312,1 : 26.00,kesehatan,
1019,11201,Kedokteran,Aktif,S1,A,2019,104,952,1 : 9.15,kesehatan,
1019,47201,Kimia,Aktif,S1,A,2019,20,524,1 : 26.20,mipa,
1019,61201,Manajemen,Aktif,S1,A,2019,28,1196,1 : 42.71,ekonomi,
1019,54242,Manajemen Sumber Daya Perairan,Aktif,S1,A,2019,13,581,1 : 44.69,teknik,
1019,44201,Matematika,Aktif,S1,A,2019,17,503,1 : 29.59,mipa,
1019,93202,Pariwisata,Aktif,S1,A,2019,6,287,1 : 47.83,sosial,
1019,54246,Pemanfaatan Sumber Daya Perikanan,Aktif,S1,A,2019,17,600,1 : 35.29,pertanian,
1019,83207,Pendidikan Teknologi Informasi,Aktif,S1,A,2019,11,298,1 : 27.09,pendidikan,
1019,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,25,642,1 : 25.68,teknik,
1019,63221,Perpajakan,Aktif,S1,A,2019,13,675,1 : 51.92,ekonomi,
1019,54231,Peternakan,Aktif,S1,A,2019,64,2894,1 : 45.22,pertanian,
1019,79202,Sastra Inggris,Aktif,S1,A,2019,29,546,1 : 18.83,#N/A,
1019,79204,Sastra Jepang,Aktif,S1,A,2019,12,485,1 : 40.42,#N/A,
1019,57201,Sistem Informasi,Aktif,S1,A,2019,15,920,1 : 61.33,#N/A,
1019,69201,Sosiologi,Aktif,S1,A,2019,21,718,1 : 34.19,#N/A,
1019,49201,Statistika,Aktif,S1,A,2019,13,535,1 : 41.15,#N/A,
1019,26201,Teknik Industri,Aktif,S1,A,2019,35,780,1 : 22.29,#N/A,
1019,25201,Teknik Lingkungan,Aktif,S1,A,2019,13,451,1 : 34.69,#N/A,
1019,21201,Teknik Mesin,Aktif,S1,A,2019,23,643,1 : 27.96,#N/A,
1019,22202,Teknik Pengairan,Aktif,S1,A,2019,24,614,1 : 25.58,#N/A,
1019,41201,Teknik Pertanian,Aktif,S1,A,2019,11,592,1 : 53.82,#N/A,
1019,22201,Teknik Sipil,Aktif,S1,A,2019,27,563,1 : 20.85,#N/A,
1019,54244,Teknologi Hasil Perikanan,Aktif,S1,A,2019,18,612,1 : 34.00,#N/A,
1019,41211,Teknologi Industri Pertanian,Aktif,S1,A,2019,27,991,1 : 36.70,#N/A,
1019,86204,Administrasi Pendidikan,Aktif,S1,B,2019,6,212,1 : 35.33,sosial,
1019,82201,Antropologi,Aktif,S1,B,2019,10,250,1 : 25.00,humaniora,
1019,79205,Bahasa dan Sastra Prancis,Aktif,S1,B,2019,9,232,1 : 25.78,humaniora,
1019,48201,Farmasi,Aktif,S1,B,2019,11,374,1 : 34.00,kesehatan,
1019,64201,Hubungan Internasional,Aktif,S1,B,2019,25,1063,1 : 42.52,sosial,
1019,67201,Ilmu Politik,Aktif,S1,B,2019,20,751,1 : 37.55,humaniora,
1019,30202,Instrumentasi,Aktif,S1,B,2019,7,211,1 : 30.14,teknik,
1019,94202,Kewirausahaan,Aktif,S1,B,2019,6,242,1 : 40.33,ekonomi,
1019,88203,Pendidikan Bahasa Inggris,Aktif,S1,B,2019,19,577,1 : 30.37,pendidikan,
1019,88201,Pendidikan Bahasa Dan Sastra Indonesia,Aktif,S1,B,2019,14,331,1 : 23.64,pendidikan,
1019,88205,Pendidikan Bahasa Jepang,Aktif,S1,B,2019,8,261,1 : 32.63,pendidikan,
1019,12201,Pendidikan Dokter Gigi,Aktif,S1,B,2019,33,388,1 : 11.76,kesehatan,
1019,54261,Pendidikan Dokter Hewan,Aktif,S1,B,2019,31,717,1 : 23.13,kesehatan,
1019,73201,Psikologi,Aktif,S1,B,2019,30,869,1 : 28.97,humaniora,
1019,79209,Sastra Cina,Aktif,S1,B,2019,7,255,1 : 36.43,#N/A,
1019,90201,Seni Rupa Murni,Aktif,S1,B,2019,9,209,1 : 23.22,#N/A,
1019,33201,Teknik Geofisika,Aktif,S1,B,2019,5,298,1 : 59.60,#N/A,
1019,55201,Teknik Informatika,Aktif,S1,B,2019,44,2182,1 : 49.59,#N/A,
1019,24201,Teknik Kimia,Aktif,S1,B,2019,14,351,1 : 25.07,#N/A,
1019,56201,Teknik Komputer,Aktif,S1,B,2019,11,576,1 : 52.36,#N/A,
1019,59201,Teknologi Informasi,Aktif,S1,B,2019,9,300,1 : 33.33,#N/A,
1019,25202,Teknologi Bioproses,Aktif,S1,C,2019,10,257,1 : 25.70,#N/A,
1019,54290,Agribisnis (Kampus Kota Kediri),Aktif,S1,Baik,2019,5,58,1 : 11.60,pertanian,
1019,54212,Agroekoteknologi (Kampus Kota Kediri),Aktif,S1,Baik,2019,11,58,1 : 5.27,pertanian,
1019,54250,Akuakultur (Kampus Kota Kediri),Aktif,S1,Baik,2019,5,55,1 : 11.00,pertanian,
1019,94203,Ilmu Aktuaria,Aktif,S1,-,2019,-,-,-,mipa,
1019,54251,Kehutanan,Aktif,S1,-,2019,-,-,-,teknik,
1019,54232,Peternakan (Kampus kota Kediri),Aktif,S1,Baik,2019,13,72,1 : 5.54,pertanian,
