Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1008,63211,Administrasi Bisnis,Aktif,S1,A,2019,16,643,1 : 40.19,ekonomi,
1008,63201,Administrasi Publik,Aktif,S1,A,2019,17,586,1 : 34.47,sosial,
1008,54201,Agribisnis,Aktif,S1,A,2019,12,436,1 : 36.33,pertanian,
1008,54211,Agroekoteknologi,Aktif,S1,A,2019,15,470,1 : 31.33,pertanian,
1008,54243,Akuakultur,Aktif,S1,A,2019,27,534,1 : 19.78,pertanian,
1008,62201,Akuntansi,Aktif,S1,A,2019,19,1158,1 : 60.95,ekonomi,
1008,23201,Arsitektur,Aktif,S1,A,2019,17,592,1 : 34.82,teknik,
1008,79204,Bahasa dan Kebudayaan Jepang,Aktif,S1,A,2019,6,460,1 : 76.67,humaniora,
1008,46201,Biologi,Aktif,S1,A,2019,29,554,1 : 19.10,mipa,
1008,60201,Ekonomi,Aktif,S1,A,2019,16,909,1 : 56.81,ekonomi,
1008,60202,Ekonomi Islam,Aktif,S1,A,2019,9,507,1 : 56.33,ekonomi,
1008,45201,Fisika,Aktif,S1,A,2019,23,531,1 : 23.09,mipa,
1008,13211,Gizi,Aktif,S1,A,2019,23,578,1 : 25.13,kesehatan,
1008,74201,Hukum,Aktif,S1,A,2019,81,2642,1 : 32.62,humaniora,
1008,54241,Ilmu Kelautan,Aktif,S1,A,2019,26,748,1 : 28.77,teknik,
1008,70201,Ilmu Komunikasi,Aktif,S1,A,2019,17,658,1 : 38.71,sosial,
1008,65201,Ilmu Pemerintahan,Aktif,S1,A,2019,13,519,1 : 39.92,sosial,
1008,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,11,477,1 : 43.36,humaniora,
1008,11201,Kedokteran,Aktif,S1,A,2019,46,0,-,kesehatan,
1008,14201,Keperawatan,Aktif,S1,A,2019,24,628,1 : 26.17,kesehatan,
1008,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,42,1515,1 : 36.07,kesehatan,
1008,47201,Kimia,Aktif,S1,A,2019,27,538,1 : 19.93,mipa,
1008,61201,Manajemen,Aktif,S1,A,2019,32,1423,1 : 44.47,ekonomi,
1008,54242,Manajemen Sumber Daya Perairan,Aktif,S1,A,2019,11,368,1 : 33.45,teknik,
1008,44201,Matematika,Aktif,S1,A,2019,17,468,1 : 27.53,mipa,
1008,38201,Oseanografi,Aktif,S1,A,2019,28,492,1 : 17.57,teknik,
1008,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,33,634,1 : 19.21,teknik,
1008,54246,Perikanan Tangkap,Aktif,S1,A,2019,19,392,1 : 20.63,teknik,
1008,54231,Peternakan,Aktif,S1,A,2019,37,1007,1 : 27.22,pertanian,
1008,73201,Psikologi,Aktif,S1,A,2019,34,1076,1 : 31.65,humaniora,
1008,79201,Sastra Indonesia,Aktif,S1,A,2019,8,533,1 : 66.63,humaniora,
1008,79202,Sastra Inggris,Aktif,S1,A,2019,16,609,1 : 38.06,humaniora,
1008,80201,Sejarah,Aktif,S1,A,2019,5,534,1 : 106.80,humaniora,
1008,49201,Statistika,Aktif,S1,A,2019,21,518,1 : 24.67,mipa,
1008,20201,Teknik Elektro,Aktif,S1,A,2019,27,620,1 : 22.96,teknik,
1008,29201,Teknik Geodesi,Aktif,S1,A,2019,13,413,1 : 31.77,teknik,
1008,26201,Teknik Industri,Aktif,S1,A,2019,17,689,1 : 40.53,teknik,
1008,24201,Teknik Kimia,Aktif,S1,A,2019,18,717,1 : 39.83,teknik,
1008,25201,Teknik Lingkungan,Aktif,S1,A,2019,17,462,1 : 27.18,teknik,
1008,21201,Teknik Mesin,Aktif,S1,A,2019,23,731,1 : 31.78,teknik,
1008,36201,Teknik Perkapalan,Aktif,S1,A,2019,16,602,1 : 37.63,teknik,
1008,22201,Teknik Sipil,Aktif,S1,A,2019,37,597,1 : 16.14,teknik,
1008,54244,Teknologi Hasil Perikanan,Aktif,S1,A,2019,17,420,1 : 24.71,pertanian,
1008,41221,Teknologi Pangan,Aktif,S1,A,2019,14,417,1 : 29.79,pertanian,
1008,82201,Antropologi Sosial,Aktif,S1,B,2019,6,403,1 : 67.17,humaniora,
1008,64201,Hubungan Internasional,Aktif,S1,B,2019,12,450,1 : 37.50,sosial,
1008,55201,Informatika,Aktif,S1,B,2019,21,633,1 : 30.14,teknik,
1008,34201,Teknik Geologi,Aktif,S1,B,2019,14,397,1 : 28.36,teknik,
1008,56201,Teknik Komputer,Aktif,S1,B,2019,14,493,1 : 35.21,teknik,
1008,54207,Bioteknologi,Aktif,S1,-,2019,6,140,1 : 23.33,mipa,
1008,48201,Farmasi,Aktif,S1,-,2019,8,216,1 : 27.00,kesehatan,
1008,12201,Kedokteran Gigi,Aktif,S1,-,2019,4,181,1 : 45.25,kesehatan,
