Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1005,63201,Administrasi Publik,Aktif,S1,A,2019,0,0,-,sosial,
1005,54201,Agribisnis,Aktif,S1,A,2019,24,558,1 : 23.25,pertanian,
1005,54245,Agrobisnis Perikanan,Aktif,S1,A,2019,8,251,1 : 31.38,pertanian,
1005,54211,Agroteknologi,Aktif,S1,A,2019,33,1049,1 : 31.79,pertanian,
1005,62201,Akuntansi,Aktif,S1,A,2019,23,561,1 : 24.39,ekonomi,
1005,82201,Antropologi,Aktif,S1,A,2019,8,213,1 : 26.63,humaniora,
1005,81201,Arkeologi,Aktif,S1,A,2019,6,79,1 : 13.17,humaniora,
1005,23201,Arsitektur,Aktif,S1,A,2019,18,439,1 : 24.39,teknik,
1005,46201,Biologi,Aktif,S1,A,2019,21,244,1 : 11.62,mipa,
1005,54243,Budidaya Perairan,Aktif,S1,A,2019,23,307,1 : 13.35,pertanian,
1005,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,23,493,1 : 21.43,ekonomi,
1005,48201,Farmasi,Aktif,S1,A,2019,21,543,1 : 25.86,kesehatan,
1005,45201,Fisika,Aktif,S1,A,2019,5,183,1 : 36.60,mipa,
1005,33201,Geofisika,Aktif,S1,A,2019,11,239,1 : 21.73,mipa,
1005,41231,Ilmu dan Teknologi Pangan,Aktif,S1,A,2019,10,212,1 : 21.20,pertanian,
1005,63201,Ilmu Administrasi Negara,Aktif,S1,A,2019,19,260,1 : 13.68,sosial,
1005,13211,Ilmu Gizi,Aktif,S1,A,2019,14,245,1 : 17.50,kesehatan,
1005,64201,Ilmu Hubungan Internasional,Aktif,S1,A,2019,22,337,1 : 15.32,sosial,
1005,74201,Ilmu Hukum,Aktif,S1,A,2019,46,1692,1 : 36.78,humaniora,
1005,54241,Ilmu Kelautan,Aktif,S1,A,2019,30,477,1 : 15.90,teknik,
