Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1012,62201,Akuntansi,Aktif,S1,A,2019,30,1742,1 : 58.07,ekonomi,
1012,23201,Arsitektur,Aktif,S1,A,2019,31,543,1 : 17.52,teknik,
1012,46201,Biologi,Aktif,S1,A,2019,30,298,1 : 9.93,mipa,
1012,54243,Budidaya Perairan,Aktif,S1,A,2019,23,145,1 : 6.30,pertanian,
1012,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,21,842,1 : 40.10,ekonomi,
1012,54241,Ilmu Kelautan,Aktif,S1,A,2019,30,442,1 : 14.73,teknik,
1012,61201,Manajemen,Aktif,S1,A,2019,54,2856,1 : 52.89,ekonomi,
1012,54246,Pemanfaatan Sumber Daya Perikanan,Aktif,S1,A,2019,18,149,1 : 8.28,pertanian,
1012,11201,Pendidikan Dokter,Aktif,S1,A,2019,85,501,1 : 5.89,kesehatan,
1012,35201,Perencanaan Wilayah Dan Kota,Aktif,S1,A,2019,7,479,1 : 68.43,teknik,
1012,54231,Peternakan,Aktif,S1,A,2019,123,953,1 : 7.75,pertanian,
1012,69201,Sosiologi,Aktif,S1,A,2019,15,236,1 : 15.73,sosial,
1012,55201,Teknik Informatika,Aktif,S1,A,2019,27,822,1 : 30.44,teknik,
1012,41201,Teknik Pertanian,Aktif,S1,A,2019,11,472,1 : 42.91,teknik,
1012,22201,Teknik Sipil,Aktif,S1,A,2019,55,892,1 : 16.22,teknik,
1012,54244,Teknologi Hasil Perikanan,Aktif,S1,A,2019,22,142,1 : 6.45,pertanian,
1012,54201,Agribisnis,Aktif,S1,B,2019,30,1125,1 : 37.50,pertanian,
1012,54245,Agrobisnis Perikanan,Aktif,S1,B,2019,16,239,1 : 14.94,pertanian,
1012,54211,Agroteknologi,Aktif,S1,B,2019,31,273,1 : 8.81,pertanian,
1012,82201,Antropologi Sosial,Aktif,S1,B,2019,9,174,1 : 19.33,humaniora,
1012,48201,Farmasi,Aktif,S1,B,2019,21,506,1 : 24.10,kesehatan,
1012,45201,Fisika,Aktif,S1,B,2019,12,125,1 : 10.42,mipa,
1012,63201,Ilmu Administrasi Negara,Aktif,S1,B,2019,19,828,1 : 43.58,sosial,
1012,63211,Ilmu Administrasi Niaga,Aktif,S1,B,2019,18,644,1 : 35.78,sosial,
1012,74201,Ilmu Hukum,Aktif,S1,B,2019,162,3688,1 : 22.77,humaniora,
1012,14201,Ilmu Keperawatan,Aktif,S1,B,2019,13,375,1 : 28.85,kesehatan,
1012,13201,Ilmu Kesehatan Masyarakat,Aktif,S1,B,2019,39,1414,1 : 36.26,kesehatan,
1012,70201,Ilmu Komunikasi,Aktif,S1,B,2019,25,614,1 : 24.56,sosial,
1012,65201,Ilmu Pemerintahan,Aktif,S1,B,2019,22,1044,1 : 47.45,sosial,
1012,71201,Ilmu Perpustakaan,Aktif,S1,B,2019,4,207,1 : 51.75,humaniora,
1012,67201,Ilmu Politik,Aktif,S1,B,2019,19,461,1 : 24.26,humaniora,
1012,80201,Ilmu Sejarah,Aktif,S1,B,2019,11,86,1 : 7.82,humaniora,
1012,54294,Ilmu Tanah,Aktif,S1,B,2019,17,86,1 : 5.06,mipa,
1012,47201,Kimia,Aktif,S1,B,2019,14,240,1 : 17.14,mipa,
1012,54242,Manajemen Sumber Daya Perairan,Aktif,S1,B,2019,25,157,1 : 6.28,teknik,
1012,44201,Matematika,Aktif,S1,B,2019,11,321,1 : 29.18,mipa,
1012,12201,Pendidikan Dokter Gigi,Aktif,S1,B,2019,13,108,1 : 8.31,kesehatan,
1012,54295,Proteksi Tanaman,Aktif,S1,B,2019,17,82,1 : 4.82,pertanian,
1012,79201,Sastra Indonesia,Aktif,S1,B,2019,9,194,1 : 21.56,humaniora,
1012,79202,Sastra Inggris,Aktif,S1,B,2019,14,1089,1 : 77.79,humaniora,
1012,79206,Sastra Jerman,Aktif,S1,B,2019,14,69,1 : 4.93,humaniora,
1012,20201,Teknik Elektro,Aktif,S1,B,2019,26,405,1 : 15.58,teknik,
1012,21201,Teknik Mesin,Aktif,S1,B,2019,23,369,1 : 16.04,teknik,
1012,41231,Teknologi Pangan,Aktif,S1,B,2019,10,268,1 : 26.80,pertanian,
1012,54204,Agronomi,Aktif,S1,C,2019,16,85,1 : 5.31,pertanian,
1012,54251,Kehutanan,Aktif,S1,C,2019,10,317,1 : 31.70,teknik,
1012,352045,Teknik Lingkungan,Aktif,S1,C,2019,6,153,1 : 25.50,teknik,
1012,41231,Teknologi Hasil Pertanian,Alih Bentuk,S1,C,2019,0,0,-,pertanian,
1012,57201,Sistem Informasi,Aktif,S1,Baik,2019,6,216,1 : 36.00,teknik,
1012,41221,Teknologi Pangan,Aktif,S1,-,2019,-,-,-,pertanian,
