Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1033,62201,Akuntansi,Aktif,S1,A,2019,19,865,1 : 45.53,ekonomi,
1033,82201,Antropologi Sosial,Aktif,S1,A,2019,16,336,1 : 21.00,humaniora,
1033,23201,Arsitektur,Aktif,S1,A,2019,19,620,1 : 32.63,teknik,
1033,46201,Biologi,Aktif,S1,A,2019,16,364,1 : 22.75,mipa,
1033,60201,Ekonomi Pembangunan,Aktif,S1,A,2019,19,754,1 : 39.68,ekonomi,
1033,91201,Etnomusikologi,Aktif,S1,A,2019,14,265,1 : 18.93,seni,
1033,48201,Farmasi,Aktif,S1,A,2019,27,831,1 : 30.78,kesehatan,
1033,63211,Ilmu Administrasi Bisnis,Aktif,S1,A,2019,10,346,1 : 34.60,ekonomi,
1033,63201,Ilmu Administrasi Publik,Aktif,S1,A,2019,16,599,1 : 37.44,sosial,
1033,41203,Ilmu dan Teknologi Pangan,Aktif,S1,A,2019,13,352,1 : 27.08,pertanian,
1033,74201,Ilmu Hukum,Aktif,S1,A,2019,73,2272,1 : 31.12,humaniora,
1033,14201,Ilmu Keperawatan,Aktif,S1,A,2019,35,614,1 : 17.54,kesehatan,
1033,72201,Ilmu Kesejahteraan Sosial,Aktif,S1,A,2019,14,378,1 : 27.00,sosial,
1033,55201,Ilmu Komputer,Aktif,S1,A,2019,22,564,1 : 25.64,teknik,
1033,70201,Ilmu Komunikasi,Aktif,S1,A,2019,15,493,1 : 32.87,sosial,
1033,71201,Ilmu Perpustakaan,Aktif,S1,A,2019,12,310,1 : 25.83,humaniora,
1033,67201,Ilmu Politik,Aktif,S1,A,2019,14,367,1 : 26.21,humaniora,
1033,13201,Kesehatan Masyarakat,Aktif,S1,A,2019,45,1385,1 : 30.78,kesehatan,
1033,47201,Kimia,Aktif,S1,A,2019,21,558,1 : 26.57,mipa,
1033,61201,Manajemen,Aktif,S1,A,2019,19,794,1 : 41.79,ekonomi,
1033,11201,Pendidikan Dokter,Aktif,S1,A,2019,261,759,1 : 2.91,kesehatan,
1033,12201,Pendidikan Dokter Gigi,Aktif,S1,A,2019,54,977,1 : 18.09,kesehatan,
1033,71201,Perpustakaan dan Sains Informasi,Aktif,S1,A,2019,0,0,-,sosial,
1033,54231,Peternakan,Aktif,S1,A,2019,17,412,1 : 24.24,pertanian,
1033,79203,Sastra Arab,Aktif,S1,A,2019,15,308,1 : 20.53,humaniora,
1033,79202,Sastra Inggris,Aktif,S1,A,2019,14,443,1 : 31.64,humaniora,
1033,69201,Sosiologi,Aktif,S1,A,2019,12,382,1 : 31.83,sosial,
1033,20201,Teknik Elektro,Aktif,S1,A,2019,18,632,1 : 35.11,teknik,
1033,26201,Teknik Industri,Aktif,S1,A,2019,14,573,1 : 40.93,teknik,
1033,24201,Teknik Kimia,Aktif,S1,A,2019,17,642,1 : 37.76,teknik,
1033,21201,Teknik Mesin,Aktif,S1,A,2019,14,607,1 : 43.36,teknik,
1033,59201,Teknologi Informasi,Aktif,S1,A,2019,23,670,1 : 29.13,teknik,
1033,54201,Agribisnis,Aktif,S1,B,2019,21,673,1 : 32.05,pertanian,
1033,54211,Agroteknologi,Aktif,S1,B,2019,47,1115,1 : 23.72,pertanian,
1033,45201,Fisika,Aktif,S1,B,2019,23,391,1 : 17.00,mipa,
1033,80201,Ilmu Sejarah,Aktif,S1,B,2019,11,208,1 : 18.91,humaniora,
1033,54251,Kehutanan,Aktif,S1,B,2019,34,718,1 : 21.12,teknik,
1033,41201,Keteknikan Pertanian,Aktif,S1,B,2019,13,305,1 : 23.46,pertanian,
1033,54242,Manajemen Sumber Daya Perairan,Aktif,S1,B,2019,13,256,1 : 19.69,teknik,
1033,44201,Matematika,Aktif,S1,B,2019,14,415,1 : 29.64,mipa,
1033,73201,Psikologi,Aktif,S1,B,2019,28,955,1 : 34.11,humaniora,
1033,79211,Sastra Batak,Aktif,S1,B,2019,13,141,1 : 10.85,humaniora,
1033,79209,Sastra Cina,Aktif,S1,B,2019,5,178,1 : 35.60,humaniora,
1033,79201,Sastra Indonesia,Aktif,S1,B,2019,20,351,1 : 17.55,humaniora,
1033,79204,Sastra Jepang,Aktif,S1,B,2019,8,275,1 : 34.38,humaniora,
1033,79212,Sastra Melayu,Aktif,S1,B,2019,4,192,1 : 48.00,humaniora,
1033,25201,Teknik Lingkungan,Aktif,S1,B,2019,13,241,1 : 18.54,teknik,
1033,22201,Teknik Sipil,Aktif,S1,B,2019,24,614,1 : 25.58,teknik,
1033,79214,Bahasa Mandarin,Aktif,S1,-,2019,0,0,-,humaniora,
