Campus_Code,Code,Study_Program,Status,Level,Accreditation,Reporting_Year,Number_of_Permanent_Lecturers,Number_of_Students,Ratio,Study_Program_Area,Major_Classification
1028,62201,Akuntansi,Aktif,S1,A,2019,31,1573,1 : 50.74,ekonomi,
1028,82201,Antropologi,Aktif,S1,A,2019,13,520,1 : 40.00,humaniora,
1028,46201,Biologi,Aktif,S1,A,2019,17,433,1 : 25.47,mipa,
1028,47201,Kimia,Aktif,S1,A,2019,20,359,1 : 17.95,mipa,
1028,84203,Pendidikan Fisika,Aktif,S1,A,2019,23,399,1 : 17.35,pendidikan,
1028,84204,Pendidikan Kimia,Aktif,S1,A,2019,27,514,1 : 19.04,pendidikan,
1028,54201,Agribisnis,Aktif,S1,B,2019,40,1334,1 : 33.35,pertanian,
1028,54211,Agroteknologi,Aktif,S1,B,2019,70,1552,1 : 22.17,pertanian,
1028,54212,Agroteknologi (Kampus Kab. Morowali),Aktif,S1,B,2019,9,59,1 : 6.56,pertanian,
1028,54243,Akuakultur,Aktif,S1,B,2019,26,516,1 : 19.85,pertanian,
1028,23201,Arsitektur,Aktif,S1,B,2019,39,805,1 : 20.64,teknik,
1028,86201,Bimbingan Dan Konseling,Aktif,S1,B,2019,13,394,1 : 30.31,humaniora,
1028,60201,Ekonomi dan Pembangunan,Aktif,S1,B,2019,35,1273,1 : 36.37,ekonomi,
1028,48201,Farmasi,Aktif,S1,B,2019,32,1212,1 : 37.88,kesehatan,
1028,45201,Fisika,Aktif,S1,B,2019,16,317,1 : 19.81,mipa,
1028,63201,Ilmu Administrasi Publik,Aktif,S1,B,2019,38,875,1 : 23.03,sosial,
1028,74201,Ilmu Hukum,Aktif,S1,B,2019,109,3028,1 : 27.78,humaniora,
1028,70201,Ilmu Komunikasi,Aktif,S1,B,2019,27,850,1 : 31.48,sosial,
1028,65201,Ilmu Pemerintahan,Aktif,S1,B,2019,25,915,1 : 36.60,sosial,
1028,11201,Kedokteran,Aktif,S1,B,2019,40,417,1 : 10.43,kesehatan,
1028,54251,Kehutanan,Aktif,S1,B,2019,38,1411,1 : 37.13,teknik,
1028,13201,Kesehatan Masyarakat,Aktif,S1,B,2019,32,897,1 : 28.03,kesehatan,
1028,61201,Manajemen,Aktif,S1,B,2019,41,1788,1 : 43.61,ekonomi,
1028,61271,Manajemen (Kampus Kab.Morowali),Aktif,S1,B,2019,10,313,1 : 31.30,ekonomi,
1028,44201,Matematika,Aktif,S1,B,2019,12,404,1 : 33.67,mipa,
1028,88201,Pendidikan Bahasa Dan Sastra Indonesia,Aktif,S1,B,2019,17,691,1 : 40.65,pendidikan,
1028,88203,Pendidikan Bahasa Inggris,Aktif,S1,B,2019,34,980,1 : 28.82,pendidikan,
1028,84205,Pendidikan Biologi,Aktif,S1,B,2019,27,645,1 : 23.89,pendidikan,
1028,87202,Pendidikan Geografi,Aktif,S1,B,2019,15,482,1 : 32.13,pendidikan,
1028,86207,Pendidikan Guru Pendidikan Anak Usia Dini,Aktif,S1,B,2019,11,400,1 : 36.36,pendidikan,
1028,86206,Pendidikan Guru Sekolah Dasar,Aktif,S1,B,2019,27,1039,1 : 38.48,pendidikan,
1028,85201,"Pendidikan Jasmani, Kesehatan Dan Rekreasi",Aktif,S1,B,2019,28,898,1 : 32.07,pendidikan,
1028,84202,Pendidikan Matematika,Aktif,S1,B,2019,19,603,1 : 31.74,pendidikan,
1028,87205,Pendidikan Pancasila Dan Kewarganegaraan,Aktif,S1,B,2019,11,436,1 : 39.64,pendidikan,
1028,87201,Pendidikan Sejarah,Aktif,S1,B,2019,15,488,1 : 32.53,pendidikan,
1028,54231,Peternakan,Aktif,S1,B,2019,64,1143,1 : 17.86,pertanian,
1028,69201,Sosiologi,Aktif,S1,B,2019,31,885,1 : 28.55,sosial,
1028,49201,Statistika,Aktif,S1,B,2019,9,480,1 : 53.33,mipa,
1028,20201,Teknik Elektro,Aktif,S1,B,2019,15,447,1 : 29.80,teknik,
1028,21201,Teknik Mesin,Aktif,S1,B,2019,8,455,1 : 56.88,teknik,
1028,22201,Teknik Sipil,Aktif,S1,B,2019,50,1094,1 : 21.88,teknik,
1028,35201,Perencanaan Wilayah dan Kota,Aktif,S1,C,2019,12,602,1 : 50.17,teknik,
1028,34201,Teknik Geologi,Aktif,S1,C,2019,19,343,1 : 18.05,teknik,
1028,55202,Teknik Informatika,Aktif,S1,C,2019,19,848,1 : 44.63,teknik,
1028,54213,Agroteknologi Kampus Kab. Tojo Una-una,Aktif,S1,Baik,2019,8,98,1 : 12.25,pertanian,
1028,13211,Gizi,Aktif,S1,-,2019,11,191,1 : 17.36,kesehatan,
1028,61272,Manajemen Kampus Kab. Tojo Una-una,Aktif,S1,Baik,2019,8,244,1 : 30.50,ekonomi,
1028,88273,PSKGJ Pendidikan Bahasa Inggris,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,88271,PSKGJ Pendidikan Bahasa Sastra Indonesia dan Daerah,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,84275,PSKGJ Pendidikan Biologi,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,84273,PSKGJ Pendidikan Fisika,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,86276,PSKGJ Pendidikan Guru Sekolah Dasar(PGSD),Tutup,S1,-,2019,0,0,-,pendidikan,
1028,84274,PSKGJ Pendidikan Kimia,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,84272,PSKGJ Pendidikan Matematika,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,87275,PSKGJ Pendidikan Pancasila dan Kewarganegaraan,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,87271,PSKGJ Pendidikan Sejarah,Tutup,S1,-,2019,0,0,-,pendidikan,
1028,57201,Sistem Informasi,Aktif,S1,-,2019,-,-,-,teknik,
1028,33201,Teknik Geofisika,Aktif,S1,Baik,2019,7,149,1 : 21.29,teknik,
1028,352045,Teknik Lingkungan,Aktif,S1,-,2019,0,27,-,teknik,
1028,22211,Teknik Sipil (Kampus Kab. Morowali),Aktif,S1,Baik,2019,7,49,1 : 7.00,teknik,
1028,22212,Teknik Sipil Kampus Kab Tojo Una-una,Aktif,S1,Baik,2019,6,36,1 : 6.00,teknik,
