University_Name,Ranking_Web_Indonesia,Code,Status,Accreditation,Date_of_Establishment,Number_SK,Date_SK,Address,City,Province,Postal_Code,Telephone,Faximile,Email
Universitas Telkom,5,41057,Aktif,A,1/16/2007,309/E/O/2013,8/14/2013,"Jl. Telekomunikasi Terusan Buah Batu, Kec. Dayeuhkolot - Kab. Bandung - Prov. Jawa Barat",Bandung,Jawa Barat,40257,227564108,227565200,info@telkomuniversity.ac.id
Unversitas Gadjah Mada,6,1001,Aktif,A,12/19/1949,PP 1532000,12/26/2000,Bulaksumur,Sleman,D.I. Yogyakarta,55281,2746492599,274565223,setr@ugm.ac.id
Universitas Indonesia,1,1002,Aktif,A,2/2/1950,152,12/26/2000,Jalan Salemba Raya 4,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,10430,217270020,217270017,humas-ui@ui.ac.id
Institut Teknologi Bandung,2,2001,Aktif,A,2/3/1959,PP NO. 6 TAHUN 1959,2/3/1959,Jl. Ganesha 10 Bandung 4013,Kota Bandung,Prov. Jawa Barat,40116,222500935,222500935,pddikti@akademik.itb.ac.id
Universitas Brawijaya,3,1019,Aktif,A,9/23/1963,196,5/1/1963,"Jalan Veteran, Kec. Lowokwaru",Kota Malang,Prov. Jawa Timur,65145,341551611,341565420,rektorat@ub.ac.id
Institut Teknologi Sepuluh Nopember,4,2002,Aktif,A,10/11/1957,10125U.U,3/12/1960,"Kampus ITS Sukolilo, Kec. Sukolilo",Kota Surabaya,Prov. Jawa Timur,6011,3159942514,315939632,dptsi@its.ac.id
Universitas Hasanuddin,17,1005,Aktif,A,6/11/1956,3369,6/11/1956,Jl Perintis Kemerdekaan Km 10 Tamalanrea,Kota Makassar,Prov. Sulawesi Selatan,90245,0411-586200,0411-585188,vicerector1@unhas.ac.id
Universitas Tadulako,21,1028,Aktif,B,5/1/1981,170B-SWTP1997,4/1/1997,Kampus Bumi Tadulako Tondo,Kota Palu,Prov. Sulawesi Tengah,94118,0451-422611,0451-422355,untad@untad.ac.id
Universitas Sam Ratulangi,52,1012,Aktif,A,9/14/1965,277 TAHUN 1965,9/14/1965,Kampus Unsrat Bahu,Kota Manado,Prov. Sulawesi Utara,95115,0431-863886,0431-822568,rektorat@unsrat.ac.id
Universitas Sumatera Utara,8,1003,Aktif,A,7/4/1952,PP 481957,9/1/1957,Jalan Dr T Mansur No 9 Padang Bulan,Kota Medan,Prov. Sumatera Utara,20155,"061-8214033, 8214210","061-8211822, 8211633",
Universitas Diponegoro,9,1008,Aktif,A,10/15/1957,10124UU,12/3/1960,"Jl Prof H Soedarto, SH Kampus Tembalang",Kota Semarang,Prov. Jawa Tengah,50275,024 - 7460036,(024) 7460013,rektor@undip.ac.id
Universitas Sebelas Maret,10,1027,Aktif,A,3/8/1976,KEPPRES RI NOMOR 10 TAHUN 1976,3/8/1976,Jalan Ir Sutami 36-A Kentingan,Kota Surakarta,Prov. Jawa Tengah,57126,0271 646994,0271 642283,admin-uns@uns.ac.id
Universitas Airlangga,7,1004,Aktif,A,11/1/1954,PP nomer 57 tahun 1954,11/1/1954,Kampus C Mulyorejo,Kota Surabaya,Prov. Jawa Timur,60115,"031-5914042, 5914043",031-5981841,rektor@unair.ac.id
